leapt	997	3.175	3	7.0
least	993	3.178	7	7.0
trail	993	3.195	7	7.286
petal	998	3.202	2	7.5
plate	995	3.204	5	7.0
slate	995	3.214	5	7.4
spelt	995	3.215	5	7.2
slept	996	3.217	4	7.0
cairn	990	3.219	10	7.5
react	994	3.219	6	7.0
stale	997	3.219	3	7.0
crate	997	3.22	3	7.333
paint	993	3.222	7	7.286
slice	998	3.223	2	7.0
taper	996	3.228	4	8.25
tread	994	3.229	6	7.667
slime	995	3.229	5	7.2
leant	998	3.229	2	8.0
dealt	994	3.23	6	7.167
panel	997	3.23	3	7.0
alert	988	3.233	12	7.0
penal	994	3.235	6	7.167
pleat	998	3.236	2	8.0
trace	992	3.237	8	7.125
trope	993	3.237	7	7.571
crept	994	3.238	6	7.167
torch	993	3.239	7	7.0
renal	991	3.24	9	7.111
spent	998	3.24	2	7.0
chart	994	3.241	6	7.0
slant	996	3.242	4	7.0
decal	997	3.242	3	7.333
meant	995	3.243	5	7.2
tilde	995	3.244	5	7.0
later	993	3.246	7	7.0
stare	992	3.247	8	7.25
maple	995	3.248	5	7.0
pecan	995	3.248	5	7.0
plane	996	3.248	4	7.0
spite	996	3.248	4	7.0
pearl	995	3.25	5	7.2
canoe	984	3.251	16	7.25
since	999	3.251	1	7.0
snout	997	3.253	3	7.0
cable	995	3.254	5	7.6
print	997	3.254	3	7.0
drape	991	3.255	9	7.333
eclat	997	3.255	3	7.0
metal	994	3.257	6	7.333
steal	998	3.26	2	7.0
stone	996	3.262	4	7.25
tapir	997	3.262	3	7.667
stein	994	3.263	6	7.333
smart	1000	3.264	none
saint	990	3.265	10	7.2
scale	994	3.265	6	7.0
crest	995	3.265	5	7.2
price	991	3.266	9	7.0
cleat	996	3.267	4	7.25
trade	998	3.267	2	7.5
tenor	990	3.268	10	7.4
strap	997	3.268	3	7.333
scone	988	3.269	12	7.167
truce	988	3.269	12	7.333
roast	994	3.269	6	7.167
spiel	996	3.269	4	7.25
train	996	3.269	4	7.25
snort	997	3.269	3	7.0
posit	991	3.27	9	7.111
false	997	3.271	3	7.0
smote	997	3.271	3	7.0
plaid	993	3.272	7	7.143
baste	994	3.272	6	7.0
bleat	996	3.272	4	7.0
trial	996	3.272	4	7.5
parse	997	3.272	3	7.0
inlet	989	3.273	11	7.182
cried	990	3.273	10	7.1
space	993	3.273	7	7.143
heart	994	3.274	6	7.5
bathe	988	3.275	12	7.25
droit	994	3.275	6	7.333
haste	996	3.275	4	7.25
place	996	3.275	4	7.5
slain	998	3.275	2	7.5
alter	994	3.276	6	7.333
sport	999	3.276	1	7.0
saner	989	3.277	11	7.364
dance	990	3.277	10	7.1
plier	992	3.277	8	7.375
glean	993	3.277	7	7.286
lithe	994	3.277	6	7.0
smile	995	3.277	5	7.2
grant	996	3.277	4	7.0
lapse	996	3.278	4	7.5
pride	999	3.278	1	8.0
shirt	995	3.279	5	7.2
spurt	996	3.279	4	7.0
clone	994	3.28	6	7.333
stalk	995	3.28	5	7.0
crust	999	3.28	1	7.0
recut	994	3.281	6	7.0
plead	997	3.281	3	7.0
aside	992	3.282	8	7.5
chest	997	3.282	3	7.0
stole	997	3.282	3	7.0
teary	990	3.283	10	7.1
trice	990	3.283	10	7.1
spear	995	3.283	5	7.4
scent	998	3.283	2	7.0
satin	988	3.284	12	7.25
snare	988	3.284	12	7.083
spout	996	3.284	4	7.0
learn	989	3.285	11	7.0
split	997	3.285	3	7.0
