cage	78	3.667	22	7.591
gels	83	3.819	17	7.765
lout	80	3.862	20	8.2
dyer	85	3.929	15	7.6
rant	85	3.953	15	7.933
lead	87	3.977	13	8.077
pony	75	3.987	25	7.64
cute	82	3.988	18	7.444
mown	84	4.0	16	7.812
heal	88	4.0	12	8.083
tugs	88	4.0	12	7.833
hued	89	4.0	11	8.0
clop	81	4.012	19	8.105
last	81	4.012	19	7.421
oral	86	4.012	14	7.714
rute	86	4.012	14	7.857
page	77	4.013	23	7.739
dens	89	4.022	11	7.909
grid	90	4.022	10	7.7
ante	87	4.023	13	7.538
tear	87	4.023	13	7.769
your	82	4.024	18	7.556
rims	84	4.024	16	7.75
darn	81	4.025	19	7.789
tame	81	4.025	19	7.684
horn	78	4.026	22	7.909
dram	90	4.033	10	7.5
sign	89	4.034	11	8.182
mare	85	4.035	15	8.333
skep	85	4.035	15	7.867
sate	86	4.035	14	8.0
chap	84	4.036	16	7.375
fall	78	4.038	22	8.0
slew	79	4.038	21	7.762
peas	83	4.048	17	8.059
teal	84	4.048	16	7.438
cast	81	4.049	19	7.526
yore	81	4.049	19	7.842
torn	85	4.059	15	7.467
warn	85	4.059	15	7.533
bean	83	4.06	17	8.471
pads	83	4.06	17	7.941
whim	84	4.06	16	7.938
deet	80	4.062	20	7.8
wear	78	4.064	22	7.727
puns	88	4.068	12	7.583
sent	88	4.068	12	7.75
lewd	87	4.069	13	7.385
seat	87	4.069	13	7.462
alps	82	4.073	18	7.778
cues	81	4.074	19	7.947
nevi	81	4.074	19	7.632
rile	81	4.074	19	7.474
rapt	80	4.075	20	7.55
logs	79	4.076	21	7.81
dyes	92	4.076	8	7.375
ride	78	4.077	22	7.818
suit	76	4.079	24	7.667
grab	88	4.08	12	7.417
rats	88	4.08	12	7.833
wait	88	4.08	12	8.083
mark	86	4.081	14	7.714
redo	73	4.082	27	7.519
apes	85	4.082	15	8.0
dues	85	4.082	15	7.933
rape	85	4.082	15	7.467
chum	84	4.083	16	8.062
hope	84	4.083	16	7.438
feat	83	4.084	17	7.882
fern	83	4.084	17	7.647
gale	83	4.084	17	7.588
nets	82	4.085	18	7.5
told	82	4.085	18	7.778
doth	81	4.086	19	7.421
leas	80	4.088	20	8.75
duke	79	4.089	21	8.048
hoes	79	4.089	21	7.952
rily	79	4.089	21	7.81
bend	88	4.091	12	7.833
lost	76	4.092	24	7.625
arty	87	4.092	13	7.692
cane	87	4.092	13	7.615
glow	87	4.092	13	7.538
worm	86	4.093	14	7.5
dorm	84	4.095	16	7.375
pend	94	4.096	6	8.333
meat	82	4.098	18	7.667
sofa	82	4.098	18	7.944
tuba	81	4.099	19	7.895
ired	90	4.1	10	8.0
dint	86	4.105	14	7.357
mils	85	4.106	15	8.133
liar	84	4.107	16	7.75
barf	83	4.108	17	7.941
bets	73	4.11	27	7.593
does	82	4.11	18	7.722
gash	82	4.11	18	7.722
perm	82	4.11	18	7.444
days	81	4.111	19	7.895
troy	90	4.111	10	7.8
paid	80	4.112	20	7.55
roan	79	4.114	21	7.952
rues	79	4.114	21	8.333
scry	79	4.114	21	7.571
find	88	4.114	12	8.083
hats	88	4.114	12	7.583
pith	88	4.114	12	8.417
sail	78	4.115	22	7.864
thou	78	4.115	22	7.5
yips	87	4.115	13	7.692
hasp	86	4.116	14	7.929
slip	86	4.116	14	7.857
wort	77	4.117	23	7.739
pray	85	4.118	15	7.867
rums	84	4.119	16	7.812
aper	83	4.12	17	7.765
weld	83	4.12	17	7.941
ores	82	4.122	18	7.889
nods	81	4.123	19	8.526
tore	81	4.123	19	7.947
mire	80	4.125	20	7.75
stun	80	4.125	20	7.95
dent	87	4.126	13	8.077
tram	87	4.126	13	7.923
wend	87	4.126	13	7.615
west	87	4.126	13	8.077
laze	78	4.128	22	8.5
post	86	4.128	14	7.786
awes	77	4.13	23	7.783
clod	92	4.13	8	7.75
pate	84	4.131	16	7.5
lear	76	4.132	24	7.792
raws	76	4.132	24	7.333
yoke	76	4.132	24	8.375
bent	91	4.132	9	7.222
slop	91	4.132	9	8.0
newt	83	4.133	17	7.471
seta	82	4.134	18	7.778
tare	82	4.134	18	7.889
tums	82	4.134	18	8.389
woes	82	4.134	18	7.667
bowl	89	4.135	11	8.182
posh	89	4.135	11	7.636
this	89	4.135	11	7.545
wons	89	4.135	11	7.545
sump	81	4.136	19	7.316
yuan	81	4.136	19	7.895
born	80	4.138	20	8.0
tuna	80	4.138	20	8.0
halo	87	4.138	13	8.231
rasp	87	4.138	13	8.462
ribs	79	4.139	21	8.143
riel	71	4.141	29	7.517
